tracking_id,datetime,x,y
1,2025-01-21 23:12:18.684242,1596.13720703125,567.546142578125
1,2025-01-21 23:12:18.818388,1633.53173828125,506.136962890625
1,2025-01-21 23:12:18.839385,1663.3092041015625,435.1451721191406
1,2025-01-21 23:12:18.875998,1707.0540771484375,393.9418640136719
1,2025-01-21 23:12:18.905260,1837.0263671875,300.75140380859375
1,2025-01-21 23:12:18.926059,1910.768310546875,265.608154296875
1,2025-01-21 23:12:19.065694,1879.0989990234375,278.9114990234375
1,2025-01-21 23:12:19.088640,1903.5386962890625,210.9307098388672
1,2025-01-21 23:12:19.113841,1887.408935546875,150.90028381347656
1,2025-01-21 23:12:19.137056,1789.036865234375,159.6123809814453
1,2025-01-21 23:12:19.157535,1685.3194580078125,194.0196075439453
1,2025-01-21 23:12:19.175387,1506.3138427734375,200.26699829101562
1,2025-01-21 23:12:19.196469,1443.4932861328125,223.27471923828125
1,2025-01-21 23:12:19.216991,1380.19873046875,233.64508056640625
1,2025-01-21 23:12:19.238350,1328.964111328125,251.0924530029297
1,2025-01-21 23:12:19.256557,1299.68115234375,271.0960388183594
1,2025-01-21 23:12:19.279050,1293.549072265625,300.7865905761719
1,2025-01-21 23:12:19.298653,1303.4749755859375,324.0581970214844
1,2025-01-21 23:12:19.316941,1317.1650390625,346.39593505859375
1,2025-01-21 23:12:19.338556,1315.9398193359375,363.3414001464844
1,2025-01-21 23:12:19.359082,1323.6678466796875,399.86346435546875
1,2025-01-21 23:12:19.378494,1329.953125,447.72003173828125
1,2025-01-21 23:12:19.397707,1328.05419921875,456.1485595703125
1,2025-01-21 23:12:19.418296,1325.078125,480.4408874511719
1,2025-01-21 23:12:19.437574,1310.9755859375,512.0419921875
1,2025-01-21 23:12:19.581145,988.9111938476562,523.8078002929688
1,2025-01-21 23:12:19.601467,949.484375,493.1024169921875
1,2025-01-21 23:12:19.621542,931.0303344726562,474.6360778808594
1,2025-01-21 23:12:19.645878,928.7739868164062,496.602783203125
1,2025-01-21 23:12:19.670661,939.4093627929688,530.21533203125
1,2025-01-21 23:12:19.692990,925.7886352539062,533.0877685546875
1,2025-01-21 23:12:19.713645,916.8770141601562,534.2310791015625
1,2025-01-21 23:12:19.729077,883.1478271484375,506.9932556152344
1,2025-01-21 23:12:19.746770,862.7290649414062,494.3728942871094
1,2025-01-21 23:12:19.766506,826.03955078125,497.7011413574219
1,2025-01-21 23:12:19.786907,783.3385009765625,524.099609375
1,2025-01-21 23:12:19.807466,734.0888061523438,535.8759155273438
1,2025-01-21 23:12:19.828234,633.0062255859375,518.611572265625
1,2025-01-21 23:12:19.847346,594.8233032226562,491.1808776855469
1,2025-01-21 23:12:19.869549,550.72900390625,468.36285400390625
1,2025-01-21 23:12:19.890778,513.537353515625,463.2434387207031
1,2025-01-21 23:12:19.910090,484.1184997558594,462.3637390136719
1,2025-01-21 23:12:19.930281,446.9566955566406,479.23492431640625
1,2025-01-21 23:12:19.953845,439.1869201660156,489.2377014160156
1,2025-01-21 23:12:19.974659,437.2306823730469,505.9217834472656
1,2025-01-21 23:12:19.994095,435.66180419921875,516.2088623046875
1,2025-01-21 23:12:20.013563,438.3439025878906,520.5252685546875
1,2025-01-21 23:12:20.035737,438.80426025390625,520.4445190429688
1,2025-01-21 23:12:20.056276,431.6557922363281,536.5435180664062
1,2025-01-21 23:12:20.076084,420.0807189941406,550.9302368164062
1,2025-01-21 23:12:20.097271,406.6334533691406,563.2161254882812
1,2025-01-21 23:12:20.120372,385.427734375,556.4696655273438
1,2025-01-21 23:12:20.144182,359.7047119140625,530.203857421875
1,2025-01-21 23:12:20.166176,289.7916564941406,493.6674499511719
1,2025-01-21 23:12:20.187666,268.3002624511719,496.4907531738281
1,2025-01-21 23:12:20.206765,267.57659912109375,504.1995544433594
1,2025-01-21 23:12:20.229904,281.8525695800781,522.22119140625
1,2025-01-21 23:12:20.251059,302.40167236328125,548.3026733398438
1,2025-01-21 23:12:20.271770,350.35308837890625,590.2252807617188
1,2025-01-21 23:12:20.290027,366.7515563964844,597.9827880859375
1,2025-01-21 23:12:20.315320,371.0146484375,618.9522705078125
1,2025-01-21 23:12:20.336251,351.16265869140625,638.8333129882812
1,2025-01-21 23:12:20.355317,313.91058349609375,637.859130859375
1,2025-01-21 23:12:20.376501,251.58824157714844,611.793701171875
1,2025-01-21 23:12:20.399516,241.76173400878906,618.0699462890625
1,2025-01-21 23:12:20.423274,241.0961456298828,625.0988159179688
1,2025-01-21 23:12:20.444830,253.36746215820312,633.35791015625
1,2025-01-21 23:12:20.463769,260.7695617675781,611.106689453125
1,2025-01-21 23:12:20.486196,275.0555114746094,522.1201782226562
1,2025-01-21 23:12:20.507202,264.90771484375,481.2897644042969
1,2025-01-21 23:12:20.527309,246.8498077392578,465.7537841796875
1,2025-01-21 23:12:20.547485,213.20852661132812,456.5640869140625
1,2025-01-21 23:12:20.567983,155.40626525878906,439.9590148925781
1,2025-01-21 23:12:20.589284,52.70641326904297,447.4586181640625
1,2025-01-21 23:12:20.608293,41.87589645385742,456.1878967285156
1,2025-01-21 23:12:20.625854,39.82632827758789,455.33026123046875
1,2025-01-21 23:12:20.649861,27.606842041015625,442.7615051269531
1,2025-01-21 23:12:20.674101,26.23061180114746,444.0069274902344
1,2025-01-21 23:12:20.698140,21.01988410949707,439.5820617675781
1,2025-01-21 23:12:20.719554,25.397645950317383,442.48199462890625
1,2025-01-21 23:12:20.738429,21.59562873840332,441.03875732421875
1,2025-01-21 23:12:20.760431,20.8380069732666,444.88079833984375
